index,address,price,rooms,area,floor,District,Street,Country,longitude,latitude
0,Naujamiestis Šv.Stepono g.,570,1,17.0,2/5,Naujamiestis,Šv.Stepono g.,Lithuania,25.264768,54.680141
1,Liepkalnis Liepkalnio g.,650,2,53.0,3/5,Liepkalnis,Liepkalnio g.,Lithuania,25.2999754,54.6628872
2,Valakampiai Valakupių g.,750,2,40.0,1/2,Valakampiai,Valakupių g.,Lithuania,25.311143235230016,54.725798
3,Antakalnis Žolyno g.,400,1,18.0,3/5,Antakalnis,Žolyno g.,Lithuania,25.31507,54.7117059
4,Santariškės Santaros g.,419,1,19.0,2/4,Santariškės,Santaros g.,Lithuania,25.2792131,54.757459
5,Senamiestis Mėsinių g.,1800,4,144.0,2/3,Senamiestis,Mėsinių g.,Lithuania,25.2847694,54.6780901
6,Šiaurės miestelis S.Žukausko g.,1300,3,110.0,8/8,Šiaurės miestelis,S.Žukausko g.,Lithuania,24.121971,55.106184
7,Fabijoniškės Salomėjos Nėries g.,610,2,56.06,2/12,Fabijoniškės,Salomėjos Nėries g.,Lithuania,25.572202,54.870773
8,Pašilaičiai Perkūnkiemio g.,730,2,41.0,4/9,Pašilaičiai,Perkūnkiemio g.,Lithuania,25.219637,54.7387996
9,Senamiestis Didžioji g.,1400,3,57.0,2/3,Senamiestis,Didžioji g.,Lithuania,21.1334853,55.7105565
10,Žirmūnai Žirmūnų g.,890,2,55.07,1/4,Žirmūnai,Žirmūnų g.,Lithuania,25.3050482,54.7157121
11,Naujamiestis Vandentiekio g.,499,2,26.56,1/5,Naujamiestis,Vandentiekio g.,Lithuania,25.245021,54.667674
12,Senamiestis Subačiaus g.,620,2,23.0,4/5,Senamiestis,Subačiaus g.,Lithuania,25.2964286,54.6765474
13,Naujininkai Meistrų g.,370,1,20.0,3/4,Naujininkai,Meistrų g.,Lithuania,25.273563,54.662677
14,Senamiestis Gedimino pr.,1150,2,50.0,2/5,Senamiestis,Gedimino pr.,Lithuania,25.2824605,54.6865081
15,Baltupiai Kalvarijų g.,650,2,42.0,10/14,Baltupiai,Kalvarijų g.,Lithuania,25.2801343,54.7282735
16,Paupys Aukštaičių g.,840,2,40.0,1/4,Paupys,Aukštaičių g.,Lithuania,25.3032805,54.6786994
17,Žirmūnai Verkių g.,700,2,32.0,4/9,Žirmūnai,Verkių g.,Lithuania,25.2960633,54.7199848
18,Šeškinė Čiobiškio g.,550,3,67.0,7/9,Šeškinė,Čiobiškio g.,Lithuania,25.2356422,54.7147111
19,Karoliniškės Algimanto Petro Kavoliuko g.,870,3,49.83,5/5,Karoliniškės,Algimanto Petro Kavoliuko g.,Lithuania,25.21827851645063,54.6953297
20,Karoliniškės Algimanto Petro Kavoliuko g.,700,2,40.6,2/5,Karoliniškės,Algimanto Petro Kavoliuko g.,Lithuania,25.21827851645063,54.6953297
21,Naujamiestis A.Goštauto g.,700,2,56.0,1/5,Naujamiestis,A.Goštauto g.,Lithuania,25.264768,54.680141
22,Karoliniškės Algimanto Petro Kavoliuko g.,550,1,27.0,1/5,Karoliniškės,Algimanto Petro Kavoliuko g.,Lithuania,25.21827851645063,54.6953297
23,Užupis Polocko g.,850,2,51.0,3/3,Užupis,Polocko g.,Lithuania,25.3008276,54.6812167
24,Žirmūnai Žirmūnų g.,420,1,20.0,1/1,Žirmūnai,Žirmūnų g.,Lithuania,25.3050482,54.7157121
25,Žvėrynas Siesikų g.,599,1,30.0,5/9,Žvėrynas,Siesikų g.,Lithuania,25.249828,54.695925
26,Antakalnis Žolyno g.,820,3,72.0,2/4,Antakalnis,Žolyno g.,Lithuania,25.31507,54.7117059
27,Senamiestis Šv.Ignoto g.,800,2,60.0,1/2,Senamiestis,Šv.Ignoto g.,Lithuania,25.287693,54.683127
28,Senamiestis Vokiečių g.,1350,5,80.0,3/4,Senamiestis,Vokiečių g.,Lithuania,25.2840381,54.6789287
29,Senamiestis Vokiečių g.,900,2,41.0,2/3,Senamiestis,Vokiečių g.,Lithuania,25.2840381,54.6789287
30,Viršuliškės Poligrafijos g.,770,2,53.0,1/9,Viršuliškės,Poligrafijos g.,Lithuania,25.213686,54.7016862
31,Fabijoniškės Fabijoniškių g.,650,2,51.0,1/7,Fabijoniškės,Fabijoniškių g.,Lithuania,25.2374099,54.7315103
32,Šnipiškės Konstitucijos pr.,970,2,53.84,5/29,Šnipiškės,Konstitucijos pr.,Lithuania,25.2706146,54.6975998
33,Naujamiestis Savanorių pr.,750,2,52.0,3/11,Naujamiestis,Savanorių pr.,Lithuania,25.2539717,54.6768665
34,Pašilaičiai Perkūnkiemio g.,600,3,72.0,5/8,Pašilaičiai,Perkūnkiemio g.,Lithuania,25.219637,54.7387996
35,Naujamiestis T.Ševčenkos g.,699,2,40.0,2/4,Naujamiestis,T.Ševčenkos g.,Lithuania,25.264768,54.680141
36,Naujamiestis T.Ševčenkos g.,599,1,30.0,3/4,Naujamiestis,T.Ševčenkos g.,Lithuania,25.264768,54.680141
37,Naujoji Vilnia Pramonės g.,330,1,18.0,7/8,Naujoji Vilnia,Pramonės g.,Lithuania,25.440378,54.6952323
38,Šnipiškės Kalvarijų g.,450,1,18.0,1/5,Šnipiškės,Kalvarijų g.,Lithuania,25.2817254,54.6949273
39,Santariškės Santariškių g.,1000,3,114.12,3/4,Santariškės,Santariškių g.,Lithuania,25.2803027,54.7528454
40,Pilaitė I.Simonaitytės g.,1099,3,84.51,3/4,Pilaitė,I.Simonaitytės g.,Lithuania,25.182761,54.706948
41,Naujamiestis S.Konarskio g.,600,2,50.0,4/5,Naujamiestis,S.Konarskio g.,Lithuania,25.264768,54.680141
42,Antakalnis Antakalnio g.,550,2,40.0,7/8,Antakalnis,Antakalnio g.,Lithuania,25.3171585,54.7195619
43,Justiniškės Taikos g.,550,1,43.0,2/5,Justiniškės,Taikos g.,Lithuania,25.2228709,54.7211373
44,Antakalnis Bistryčios g.,850,3,70.0,1/5,Antakalnis,Bistryčios g.,Lithuania,25.3228828,54.7064542
45,Santariškės Santariškių g.,570,2,40.2,3/3,Santariškės,Santariškių g.,Lithuania,25.2803027,54.7528454
46,Naujininkai Rodūnios kel.,300,1,20.0,2/3,Naujininkai,Rodūnios kel.,Lithuania,25.273563,54.662677
47,Užupis Krivių g.,1200,3,81.0,3/4,Užupis,Krivių g.,Lithuania,25.301823076879643,54.68413115
48,Baltupiai Kalvarijų g.,630,2,43.0,5/14,Baltupiai,Kalvarijų g.,Lithuania,25.2801343,54.7282735
49,Pašilaičiai Leičių g.,630,2,46.23,7/9,Pašilaičiai,Leičių g.,Lithuania,25.2243428,54.7367895
50,Senamiestis Aušros Vartų g.,400,1,16.0,2/3,Senamiestis,Aušros Vartų g.,Lithuania,22.250943,55.983929
51,Žirmūnai Žirmūnų g.,600,1,39.0,3/9,Žirmūnai,Žirmūnų g.,Lithuania,25.3050482,54.7157121
52,Naujamiestis Naugarduko g.,820,2,49.0,5/7,Naujamiestis,Naugarduko g.,Lithuania,25.2753772,54.6767869
53,Pašilaičiai Žemynos g.,500,1,28.0,5/5,Pašilaičiai,Žemynos g.,Lithuania,25.2253933,54.7259967
54,Bajorai Bajorų kel.,750,3,69.0,2/4,Bajorai,Bajorų kel.,Lithuania,24.121971,55.106184
55,Salininkai Kelmijos Sodų 9-oji g.,500,2,55.0,1/1,Salininkai,Kelmijos Sodų 9-oji g.,Lithuania,24.121971,55.106184
56,Naujoji Vilnia Parko g.,350,1,28.0,1/5,Naujoji Vilnia,Parko g.,Lithuania,25.425328370408153,54.68598085
57,Fabijoniškės S.Stanevičiaus g.,460,1,36.0,3/5,Fabijoniškės,S.Stanevičiaus g.,Lithuania,25.246433,54.731814
58,Antakalnis Smėlio g.,570,1,32.0,4/4,Antakalnis,Smėlio g.,Lithuania,25.3118899,54.7033583
59,Karoliniškės Sietyno g.,800,3,56.0,2/5,Karoliniškės,Sietyno g.,Lithuania,25.2012715,54.6879126
60,Fabijoniškės S.Stanevičiaus g.,600,3,67.0,2/5,Fabijoniškės,S.Stanevičiaus g.,Lithuania,25.246433,54.731814
61,Pašilaičiai Pavilnionių g.,600,2,63.0,10/16,Pašilaičiai,Pavilnionių g.,Lithuania,25.2107630181918,54.73645825
62,Naujoji Vilnia V.Sirokomlės g.,500,2,50.0,5/5,Naujoji Vilnia,V.Sirokomlės g.,Lithuania,25.411303,54.692957
63,Pilaitė Gilužio g.,950,3,62.0,3/3,Pilaitė,Gilužio g.,Lithuania,25.1793994,54.7019012
64,Fabijoniškės Salomėjos Nėries g.,630,2,56.0,2/12,Fabijoniškės,Salomėjos Nėries g.,Lithuania,25.572202,54.870773
65,Šnipiškės Krokuvos g.,1250,3,52.0,2/6,Šnipiškės,Krokuvos g.,Lithuania,25.285138,54.6966918
66,Senamiestis Gėlių g.,650,1,28.0,4/4,Senamiestis,Gėlių g.,Lithuania,23.2373962,54.4141552
67,Senamiestis Šv.Stepono g.,595,2,45.0,2/3,Senamiestis,Šv.Stepono g.,Lithuania,25.287693,54.683127
68,Antakalnis Nemenčinės pl.,720,2,46.0,4/7,Antakalnis,Nemenčinės pl.,Lithuania,25.319595220530616,54.724156199999996
69,Vilkpėdė Vilkpėdės g.,999,3,75.0,1/6,Vilkpėdė,Vilkpėdės g.,Lithuania,25.2360528,54.6636771
70,Šnipiškės Linkmenų g.,800,2,40.0,3/6,Šnipiškės,Linkmenų g.,Lithuania,25.2690681,54.6999287
71,Markučiai Kaukysos g.,900,2,50.55,3/6,Markučiai,Kaukysos g.,Lithuania,25.3180472,54.6763855
72,Žirmūnai Verkių g.,1000,2,48.83,8/9,Žirmūnai,Verkių g.,Lithuania,25.2960633,54.7199848
73,Senamiestis Didžioji g.,1350,2,69.45,2/3,Senamiestis,Didžioji g.,Lithuania,21.1334853,55.7105565
74,Šiaurės miestelis S.Žukausko g.,580,1,40.0,8/8,Šiaurės miestelis,S.Žukausko g.,Lithuania,24.121971,55.106184
75,Bajorai Bajorų Sodų 2-oji g.,950,3,75.0,2/2,Bajorai,Bajorų Sodų 2-oji g.,Lithuania,24.121971,55.106184
76,Naujamiestis Šv.Stepono g.,740,2,32.5,3/4,Naujamiestis,Šv.Stepono g.,Lithuania,25.264768,54.680141
77,Naujamiestis Statybininkų g.,990,2,52.0,6/9,Naujamiestis,Statybininkų g.,Lithuania,25.2571911,54.6734081
78,Pašilaičiai Girulių g.,500,2,44.0,9/9,Pašilaičiai,Girulių g.,Lithuania,25.2164886,54.7385893
79,Naujamiestis Burbiškių g.,650,1,36.0,1/3,Naujamiestis,Burbiškių g.,Lithuania,25.252939,54.651624
80,Žirmūnai Jurgio Lebedžio g.,715,2,39.0,4/5,Žirmūnai,Jurgio Lebedžio g.,Lithuania,25.228239,54.711003
81,Žvėrynas Saltoniškių g.,1050,2,56.0,3/10,Žvėrynas,Saltoniškių g.,Lithuania,25.260394,54.700248
82,Naujininkai Kaminkelio g.,690,2,52.0,3/6,Naujininkai,Kaminkelio g.,Lithuania,25.27908,54.6591884
83,Verkiai Popieriaus g.,400,1,40.0,4/4,Verkiai,Popieriaus g.,Lithuania,25.3322215,54.7598164
84,Vilkpėdė Vandentiekio g.,250,1,41.0,2/4,Vilkpėdė,Vandentiekio g.,Lithuania,25.2468794,54.6675218
85,Užupis Polocko g.,1100,2,47.0,0/4,Užupis,Polocko g.,Lithuania,25.3008276,54.6812167
86,Kairėnai Meldų g.,290,1,24.0,2/2,Kairėnai,Meldų g.,Lithuania,24.121971,55.106184
87,Šeškinė Laisvės pr.,600,2,33.0,2/5,Šeškinė,Laisvės pr.,Lithuania,25.2323775,54.7193989
88,Naujininkai Šaltkalvių g.,300,1,17.0,1/5,Naujininkai,Šaltkalvių g.,Lithuania,25.273605,54.661445
89,Pašilaičiai Virbeliškių g.,900,3,68.3,6/6,Pašilaičiai,Virbeliškių g.,Lithuania,25.2176973,54.7293428
90,Žirmūnai Žirmūnų g.,1200,3,61.4,4/5,Žirmūnai,Žirmūnų g.,Lithuania,25.3050482,54.7157121
91,Senamiestis Sodų g.,720,1,33.0,2/4,Senamiestis,Sodų g.,Lithuania,23.2457351,54.420003
92,Šnipiškės Šeimyniškių g.,1000,3,56.0,8/9,Šnipiškės,Šeimyniškių g.,Lithuania,25.282158,54.6947179
93,Senamiestis Aušros Vartų g.,215,1,20.0,2/2,Senamiestis,Aušros Vartų g.,Lithuania,22.250943,55.983929
94,Lazdynėliai Rūko g.,650,2,46.0,1/3,Lazdynėliai,Rūko g.,Lithuania,25.195275,54.6611694
95,Šnipiškės Linkmenų g.,1400,3,66.0,5/6,Šnipiškės,Linkmenų g.,Lithuania,25.2690681,54.6999287
96,Naujoji Vilnia Parko g.,375,1,15.0,4/4,Naujoji Vilnia,Parko g.,Lithuania,25.425328370408153,54.68598085
97,Šnipiškės Linkmenų g.,800,2,47.0,5/5,Šnipiškės,Linkmenų g.,Lithuania,25.2690681,54.6999287
98,Naujoji Vilnia Kučkuriškių g.,600,4,107.0,2/2,Naujoji Vilnia,Kučkuriškių g.,Lithuania,25.368176,54.694191
99,Žemieji Paneriai Vaduvos g.,350,1,36.0,5/5,Žemieji Paneriai,Vaduvos g.,Lithuania,25.2056134,54.6436165
100,Šnipiškės Raitininkų g.,1100,2,57.0,1/7,Šnipiškės,Raitininkų g.,Lithuania,24.11797,54.23549
101,Lazdynai Jonažolių g.,650,2,62.27,1/6,Lazdynai,Jonažolių g.,Lithuania,25.2148876,54.666674
102,Baltupiai Kazio Ulvydo g.,720,2,45.0,5/5,Baltupiai,Kazio Ulvydo g.,Lithuania,24.121971,55.106184
103,Jeruzalė Ateities g.,700,3,80.0,4/5,Jeruzalė,Ateities g.,Lithuania,25.2681728,54.7376318
104,Markučiai Manufaktūrų g.,900,2,56.26,2/5,Markučiai,Manufaktūrų g.,Lithuania,25.3207304,54.6768792
105,Karoliniškės Virginijaus Druskio g.,700,3,64.0,4/9,Karoliniškės,Virginijaus Druskio g.,Lithuania,25.202447,54.685872
106,Šnipiškės Žalgirio g.,450,1,20.0,2/2,Šnipiškės,Žalgirio g.,Lithuania,25.2668422,54.7044446
107,Lazdynai Architektų g.,475,1,33.0,3/5,Lazdynai,Architektų g.,Lithuania,25.2164788,54.6787988
108,Viršuliškės Jurgio Matulaičio a.,900,3,102.0,4/6,Viršuliškės,Jurgio Matulaičio a.,Lithuania,24.121971,55.106184
109,Senamiestis L.Stuokos-Gucevičiaus g.,700,1,22.0,3/5,Senamiestis,L.Stuokos-Gucevičiaus g.,Lithuania,,
110,Naujamiestis Kauno g.,700,2,39.0,4/11,Naujamiestis,Kauno g.,Lithuania,25.2626184,54.6705058
111,Senamiestis Šv.Stepono g.,490,2,27.0,2/2,Senamiestis,Šv.Stepono g.,Lithuania,25.287693,54.683127
112,Lazdynėliai Jonažolių g.,950,3,89.86,1/6,Lazdynėliai,Jonažolių g.,Lithuania,25.2148876,54.666674
113,Paupys Subačiaus g.,420,1,24.17,1/5,Paupys,Subačiaus g.,Lithuania,25.3048917,54.6770663
114,Antakalnis Smėlio g.,330,1,13.0,5/5,Antakalnis,Smėlio g.,Lithuania,25.3118899,54.7033583
115,Aukštieji Paneriai Kirtimų g.,350,1,13.0,1/4,Aukštieji Paneriai,Kirtimų g.,Lithuania,25.1585426,54.6199537
116,Senamiestis Raugyklos g.,3100,3,132.0,3/4,Senamiestis,Raugyklos g.,Lithuania,25.2789843,54.6728266
