price,rooms,area,floor,District,longitude,latitude,building size (floors)
570,1,17.0,2,Naujamiestis,25.264768,54.680141,5
650,2,53.0,3,Liepkalnis,25.2999754,54.6628872,5
750,2,40.0,1,Valakampiai,25.311143235230016,54.725798,2
400,1,18.0,3,Antakalnis,25.31507,54.7117059,5
1800,4,144.0,2,Senamiestis,25.2847694,54.6780901,3
730,2,41.0,4,Pašilaičiai,25.219637,54.7387996,9
890,2,55.07,1,Žirmūnai,25.3050482,54.7157121,4
499,2,26.56,1,Naujamiestis,25.245021,54.667674,5
620,2,23.0,4,Senamiestis,25.2964286,54.6765474,5
370,1,20.0,3,Naujininkai,25.273563,54.662677,4
1150,2,50.0,2,Senamiestis,25.2824605,54.6865081,5
650,2,42.0,10,Baltupiai,25.2801343,54.7282735,14
840,2,40.0,1,Paupys,25.3032805,54.6786994,4
700,2,32.0,4,Žirmūnai,25.2960633,54.7199848,9
550,3,67.0,7,Šeškinė,25.2356422,54.7147111,9
870,3,49.83,5,Karoliniškės,25.21827851645063,54.6953297,5
700,2,40.6,2,Karoliniškės,25.21827851645063,54.6953297,5
700,2,56.0,1,Naujamiestis,25.264768,54.680141,5
550,1,27.0,1,Karoliniškės,25.21827851645063,54.6953297,5
850,2,51.0,3,Užupis,25.3008276,54.6812167,3
420,1,20.0,1,Žirmūnai,25.3050482,54.7157121,1
599,1,30.0,5,Žvėrynas,25.249828,54.695925,9
820,3,72.0,2,Antakalnis,25.31507,54.7117059,4
800,2,60.0,1,Senamiestis,25.287693,54.683127,2
1350,5,80.0,3,Senamiestis,25.2840381,54.6789287,4
900,2,41.0,2,Senamiestis,25.2840381,54.6789287,3
770,2,53.0,1,Viršuliškės,25.213686,54.7016862,9
650,2,51.0,1,Fabijoniškės,25.2374099,54.7315103,7
970,2,53.84,5,Šnipiškės,25.2706146,54.6975998,29
750,2,52.0,3,Naujamiestis,25.2539717,54.6768665,11
600,3,72.0,5,Pašilaičiai,25.219637,54.7387996,8
699,2,40.0,2,Naujamiestis,25.264768,54.680141,4
599,1,30.0,3,Naujamiestis,25.264768,54.680141,4
450,1,18.0,1,Šnipiškės,25.2817254,54.6949273,5
600,2,50.0,4,Naujamiestis,25.264768,54.680141,5
550,2,40.0,7,Antakalnis,25.3171585,54.7195619,8
550,1,43.0,2,Justiniškės,25.2228709,54.7211373,5
850,3,70.0,1,Antakalnis,25.3228828,54.7064542,5
300,1,20.0,2,Naujininkai,25.273563,54.662677,3
1200,3,81.0,3,Užupis,25.301823076879643,54.68413115,4
630,2,43.0,5,Baltupiai,25.2801343,54.7282735,14
630,2,46.23,7,Pašilaičiai,25.2243428,54.7367895,9
600,1,39.0,3,Žirmūnai,25.3050482,54.7157121,9
820,2,49.0,5,Naujamiestis,25.2753772,54.6767869,7
500,1,28.0,5,Pašilaičiai,25.2253933,54.7259967,5
460,1,36.0,3,Fabijoniškės,25.246433,54.731814,5
570,1,32.0,4,Antakalnis,25.3118899,54.7033583,4
800,3,56.0,2,Karoliniškės,25.2012715,54.6879126,5
600,3,67.0,2,Fabijoniškės,25.246433,54.731814,5
600,2,63.0,10,Pašilaičiai,25.2107630181918,54.73645825,16
1250,3,52.0,2,Šnipiškės,25.285138,54.6966918,6
595,2,45.0,2,Senamiestis,25.287693,54.683127,3
720,2,46.0,4,Antakalnis,25.319595220530616,54.7241562,7
999,3,75.0,1,Vilkpėdė,25.2360528,54.6636771,6
800,2,40.0,3,Šnipiškės,25.2690681,54.6999287,6
900,2,50.55,3,Markučiai,25.3180472,54.6763855,6
1000,2,48.83,8,Žirmūnai,25.2960633,54.7199848,9
740,2,32.5,3,Naujamiestis,25.264768,54.680141,4
990,2,52.0,6,Naujamiestis,25.2571911,54.6734081,9
500,2,44.0,9,Pašilaičiai,25.2164886,54.7385893,9
650,1,36.0,1,Naujamiestis,25.252939,54.651624,3
715,2,39.0,4,Žirmūnai,25.228239,54.711003,5
1050,2,56.0,3,Žvėrynas,25.260394,54.700248,10
690,2,52.0,3,Naujininkai,25.27908,54.6591884,6
250,1,41.0,2,Vilkpėdė,25.2468794,54.6675218,4
1100,2,47.0,0,Užupis,25.3008276,54.6812167,4
600,2,33.0,2,Šeškinė,25.2323775,54.7193989,5
300,1,17.0,1,Naujininkai,25.273605,54.661445,5
900,3,68.3,6,Pašilaičiai,25.2176973,54.7293428,6
1200,3,61.4,4,Žirmūnai,25.3050482,54.7157121,5
1000,3,56.0,8,Šnipiškės,25.282158,54.6947179,9
1400,3,66.0,5,Šnipiškės,25.2690681,54.6999287,6
800,2,47.0,5,Šnipiškės,25.2690681,54.6999287,5
600,4,107.0,2,Naujoji Vilnia,25.368176,54.694191,2
350,1,36.0,5,Žemieji Paneriai,25.2056134,54.6436165,5
650,2,62.27,1,Lazdynai,25.2148876,54.666674,6
700,3,80.0,4,Jeruzalė,25.2681728,54.7376318,5
900,2,56.26,2,Markučiai,25.3207304,54.6768792,5
700,3,64.0,4,Karoliniškės,25.202447,54.685872,9
450,1,20.0,2,Šnipiškės,25.2668422,54.7044446,2
475,1,33.0,3,Lazdynai,25.2164788,54.6787988,5
700,2,39.0,4,Naujamiestis,25.2626184,54.6705058,11
490,2,27.0,2,Senamiestis,25.287693,54.683127,2
950,3,89.86,1,Lazdynėliai,25.2148876,54.666674,6
420,1,24.17,1,Paupys,25.3048917,54.6770663,5
330,1,13.0,5,Antakalnis,25.3118899,54.7033583,5
3100,3,132.0,3,Senamiestis,25.2789843,54.6728266,4
690,2,53.0,1,Pavilnys,25.3448084,54.6593134,1
650,3,67.0,1,Naujamiestis,25.2626184,54.6705058,1
